FOF	MOVIE_NAME	MIN	SEC	YEAR	COUNTRY	LANGUAGE	SUBTITLES	PLOT	NOTE	DIRECTOR	DIRECTOR_DETAILS	CINEMATOGRAPHER	EDITOR	PRODUCTION DESIGN	SOUND	COLORIST	PRODUCER
2022	Adh Chanani Raat (Crescent Night)	109		2022	India	Punjabi		After fifteen years in prison, for committing a murder to save his father’s honour, Modan returns to his village in Punjab. In his absence, the village’s power structure has shifted towards a landowner, to the detriment of his family. Worse still, his brother is the landowner’s lapdog. Modan tries to restart his life. He repairs the family home, cares for his elderly mother, and finds love with a widow who has a young child. Yet, the past continues to affect this new life, and violence seems like the only solution.		Gurvinder Singh	'Gurvinder Singh is an Indian film director. He is best known for his Punjabi language films Anhe Ghore Da Daan, and Chauthi Koot (The Fourth Direction) which premiered at Venice and Cannes Film Festival respectively. In 2016, he was invited by a Turkish production house to direct a short film ''Infiltrator'' (16 mins) as part of an international anthology of ten short films from ten countries, titled \"In The Same Garden\". The anthology premiered at the Sarajevo Film Festival in 2016. He made an experimental film based on the short stories of the Colombian writer Garbriel Garcia Marquez as part of a workshop with the students of acting at the FTII. The film titled ''Sea of Lost Time'' (45 mins) premiered at the Rotterdam Film Festival in 2019.'	Satya Rai Nagpaul	Avneesh Chhabra		Kanishk Bhoklay, Niladri Shekhar Roy, Marc Marder	Xavier Joseph	Bobby Bedi 
2022	Anhey Ghorhey da Daan (Alms for the Blind Horse)	112		2011	India	Punjabi		The film is set in a village in the outskirts of Bathinda city where villagers work in the fields of the local landlord. It is a village where people are trying hard to make peace with their existence. Daily rituals betray their simmering anger and their helplessness. The landlord has apparently sold his plots to an industry which has demolished the house of one of the villagers who refuses to vacate it. In a refined balladic manner, this atmosphere-driven film tackles the fate of the repressed family in the village. The old and ill father joins a villagers’ protest against the landlord responsible for demolishing his house. His son Melu is a rickshaw driver in a nearby town. The rickshaw pullers have gone on a strike that has turned violent. Melu, injured during a labour strike, takes to drinking and wandering the streets. On the night of the lunar eclipse, some gunshots are heard and the village is impregnated with tension. Poor and marginalized, the characters silently but emphatically emanate restlessness and discontent.		Gurvinder Singh	'Gurvinder Singh is an Indian film director. He is best known for his Punjabi language films Anhe Ghore Da Daan, and Chauthi Koot (The Fourth Direction) which premiered at Venice and Cannes Film Festival respectively. In 2016, he was invited by a Turkish production house to direct a short film ''Infiltrator'' (16 mins) as part of an international anthology of ten short films from ten countries, titled \"In The Same Garden\". The anthology premiered at the Sarajevo Film Festival in 2016. He made an experimental film based on the short stories of the Colombian writer Garbriel Garcia Marquez as part of a workshop with the students of acting at the FTII. The film titled ''Sea of Lost Time'' (45 mins) premiered at the Rotterdam Film Festival in 2019.'	Satya Rai Nagpaul	Ujjwal Chandra	Pankaj Dhimaan	Mandar Kulkarni. Ajay Kumar P.B., Rajan Nalagarh	Xavier Joseph	National Film Development Corporation of India
2019	Strike	88		1925	USSR	Silent	English	A group of oppressed factory workers go on strike in pre-revolutionary Russia.		Sergei Eisenstein	'The son of an affluent architect, Eisenstein attended the Institute of Civil Engineering in Petrograd as a young man. With the fall of the tsar in 1917, he worked as an engineer for the Red Army. In the following years, Eisenstein joined up with the Moscow Proletkult Theater as a set designer and then director. The Proletkult''s director, Vsevolod Meyerhold, became a big influence on Eisenstein, introducing him to the concept of biomechanics, or conditioned spontaneity. Eisenstein furthered Meyerhold''s theory with his own \"montage of attractions\"--a sequence of pictures whose total emotion effect is greater than the sum of its parts. He later theorized that this style of editing worked in a similar fashion to Marx''s dialectic. Though Eisenstein wanted to make films for the common man, his intense use of symbolism and metaphor in what he called \"intellectual montage\" sometimes lost his audience. Though he made only seven films in his career, he and his theoretical writings demonstrated how film could move beyond its nineteenth-century predecessor--Victorian theatre-- to create abstract concepts with concrete images.'	Vasili Khvatov, Vladimir Popov, Eduard Tisse 					Boris Mikhin
2019	The Cranes Are Flying	95		1957	USSR	Russian	English	Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.		Mikhail Kalatozov	Mikhail Kalatozov was born on December 28, 1903 in Tiflis, Russian Empire [now Tbilisi, Republic of Georgia]. He was a director and cinematographer, known for The Cranes Are Flying (1957), True Friends (1954) and Zagovor obrechyonnykh (1950). He died on March 27, 1973 in Moscow, RSFSR, USSR [now Russia].	Sergey Urusevskiy	Mariya Timofeyeva	Evgeniy Svidetelev	Kevin Adickes, Igor Mayorov, Vadim Korostylyov, Arnold Roytman		Mikhail Kalatozov
2019	Ordinary Fascism	130		1965	USSR	Russian	English	A documentary about the rise and fall of fascism and the effects of Nazism on German society.		Mikhail Romm	Mikhail Romm was born in 1901, into a Russian-Jewish family, in the Siberian city of Irkutsk, Russia. He served in the Red Army in 1918-21 as an Inspector of the Special Forces for Food Supplies. He was in charge of confiscations of bread and food from the wealthier farmers (kulaks) in Central Russia. Romm later was avoiding any discussions regarding this painful memories, though he used his experience in the films about Lenin.	German Lavrov	Valentina Kulagina, Mikhail Romm		Sergei Minervin, Boris Vengerovsky, Alemdar Karamanov		
2019	Tale Of Tales	29		1979	USSR	Russian	English	Distant, well-worn memories of childhood are inhabited by a little gray wolf. Through astonishing imagery, the memory of all of Russia is depicted.		Yuri Norstein	'Born to Jewish parents and raised in a Moscow suburb, Yuri Norstein painted as a hobby and trained as a carpenter before studying animation. He directed his first film in 1968 and made a series of short films notable for their attention to atmosphere and fine detail, using a multiplane camera to create the illusion of three-dimensional depth. His 1979 film, ''Tale of Tales'' was acclaimed by a panel of international animation experts as the best animated film of all time. Since then, he has worked on an adaptation of Gogol''s ''The Overcoat'', which has been beset by production and funding problems.'	Igor Skidan-Bosin	Nadezhda Treshchyova		Boris Filchikov		
2019	Blockade	52		2006	Russia	Silent	English	The city of Leningrad and the blockade during the Second World War. No words. No music. Only sounds and black and white images of a dying city.		Sergey Loznitsa	Sergei Loznitsa, Ukrainian film maker, was born on September, 5th 1964 in Baranovichi, USSR. He grew up in Kiev, and in 1987 graduated from the Kiev Polytechnic with a degree in Applied Mathematics. In 1987-1991 Sergei worked as a scientist at the Kiev Institute of Cybernetics, specializing in artificial intelligence research. He also worked as a translator from Japanese. In 1997 Loznitsa graduated from the Russian State Institute of Cinematography (VGIK) in Moscow, where he studied feature film making. Loznitsa has been making documentary films since 1996 and is the author of 21 documentaries, as well as 4 feature films. In 2013 Sergei Loznitsa launched a film production and distribution company ATOMS & VOID. Currently working in both documentary and feature genres.						
2019	My Perestroika	87		2010	Russia	Russian	English	'Tells the story of five people from the last generation of Soviet children who were brought up behind the Iron Curtain. Just coming of age when the USSR collapsed, they witnessed the world of their childhood crumble and change beyond recognition. Through the lives of these former schoolmates, this intimate film reveals how they have adjusted to their post-Soviet reality in today''s Moscow.'		Robin Hessman	Robin Hessman is an award-winning filmmaker with a special interest in international stories. She recently produced \"Simple As Water\" which was shortlisted for an Oscar for Best Documentary (HBOMax). She previously directed and produced the NY Times Critics’ Pick \"My Perestroika\" - about the last generation of Soviet children to grow up behind the Iron Curtain - living today in Putin’s Russia. She has been nominated for a Producers Guild Award and has received several Peabody Awards	Robin Hessman	Alla Kovgan, Garret Savage		Tim Anderson,  Barbara Parks,  Peter Levin		Robin Hessman
2018	Court	116		2014	India	Marathi, Hindi, Gujarati, English	English	The dead body of a sewer cleaner is found in a Mumbai manhole. An ageing Dalit activist and mass singer is charged with abetting suicide based on the fiery content of one of his song lyrics, which allegedly may have incited the worker to take his own life. The ensuing trial is drawn out through procedural delays and excuses, and meanders through the absurdities of coached witnesses, arcane colonial legal practices and institutional incompetencies. This Kafkaesque chaos of a low-level court acts as a backdrop to explore the complex personal lives of judge, prosecution and defense alike. The director moves between tragedy and comedy, working with a cast of professional and un-trained actors alike, to bring his dark yet humanist portrait of the Indian justice system to life.		Chaitanya Tamhane	'Chaitanya Tamhane is an Indian filmmaker known for his thoughtful and nuanced films that explore complex social issues. His debut feature film, \"Court\" (2014), won several awards at international festivals and was India''s official entry for the Academy Awards. Tamhane''s second film, \"Violence Anywhere But Here\" (2023) premiered at the Berlin International Film Festival where it received critical acclaim. He has been praised for his unique style of storytelling which involves exploring different perspectives without passing judgment. His films often tackle themes such as justice, power dynamics, and moral ambiguity. Overall, Tamhane is considered one of the most promising young directors working today.'	Mrinal Desai	Rikhav Desai	Naresh Kumar, Somnath Pal, Pooja Talreja	Keshav Waghe		Vivek Gomber
2018	Achal (The Stagnant)	91		2013	India	Bengali	English	Characters that remain unnoticed in this era of globalization. Human beings surviving in the opposite direction of the stream. Micro traders like hawkers, street performers are rapidly going extinct from our vicinity due to the constant pressure of the market. They don’t carry big brand names behind them but they are creative enough to colour our life with their magnificent creativity. Achal paints the humane world of those that are considered surplus of the society.		Bikramjit Gupta		Amit Majumder	Atanu Mukherjee		Sukanta Majumdar, Anindya Sundar Chakraborty		Abhishek Gautam, Bikramjit Gupta
2018	Harud (Autumn)	99		2010	India	Hindi, Urdu	English	Rafiq and his family are struggling to come to terms with the loss of his older brother Tauqir, a tourist photographer, who is one of the thousands of young men who have disappeared, since the onset of the armed insurgency in Kashmir. After an unsuccessful attempt to cross the border into Pakistan, to become a militant, Rafiq returns home to an aimless existence. Until one day, he accidentally finds his brother’s old camera.		Aamir Bashir	'Aamir is an Indian actor, director and producer best known for his powerful roles in A Wednesday and Haider. After working in Indian television shows & commercials, he made his feature acting debut in Dev Benegal''s Split Wide Open. He made his directorial and co-producer debut with Harud, an Urdu film which won the National Award for the Best Urdu Feature Film at the 60th National Film Awards. He was most recently seen in Netflix''s first Indian Original series - Sacred Games. He recently appeared in the second season of Sacred Games and Navdeep Singh''s Laal Kaptaan. He will soon be seen in Inside Edge S2 and is shooting for an international TV series.'	Shanker Raman	Shan Mohammed	Rakesh Yadav	Nakul Kamte		Aamir Bashir
2018	Fandry (Pig)	105		2013	India	Marathi	English	A mesmeric force pulls Jabya onto the other side. The rarest of rare Black Sparrow he is told, is the cure to his problem. The hypnotic spell of the sparrow makes him wander relentlessly. Completely away from the magical world of Jabya, exists the callous reality of his parents who are working at the most oppressed level of the Indian class and caste structure and assume him to do the same work which they have done all their life. The protagonist Jabya has to now struggle between his quest to find the magical sparrow and his parents’ expectations. Will Jabya be successful in his pursuit of the Black Sparrow? Will the magnetic power surpass the class differences between Jabya and Shalu created by centuries of customs? Will Jabya break the fences and pass onto the other side?		Nagraj Manjule	'Nagraj Manjule is a renowned Marathi writer and film director from Maharashtra, India. He gained recognition through his short stories collection titled \"Shrimant Shripad Rajebahaddur Sangaonkar\" (The Chronicles of Mr. Haidnagar). His first feature film, \"Fandry\" (2013), won numerous awards including the Best Feature Film award at the Mumbai International Film Festival. His second film, \"Chaupaty Unlimited\" (2018), was selected for screening at the prestigious Cannes Directors'' Fortnight. Manjule''s works often deal with sensitive topics like caste discrimination, untouchability, and violence against Dalits. He has been credited with bringing these issues into mainstream consciousness through his powerful writing and filmmaking. In addition to his literary and cinematic pursuits, he is also active in politics and has served as a member of parliament in the Lok Sabha.'	Vikram Amladi	Chandan Arora		Nimish Chheda, Avinash Sonawane		Vivek Kajaria, Nilesh Navalakha
2018	Anhey Ghorhey da Daan (Alms for the Blind Horse)	112		2011	India	Punjabi	English	The film is set in a village in the outskirts of Bathinda city where villagers work in the fields of the local landlord. It is a village where people are trying hard to make peace with their existence. Daily rituals betray their simmering anger and their helplessness. The landlord has apparently sold his plots to an industry which has demolished the house of one of the villagers who refuses to vacate it. In a refined balladic manner, this atmosphere-driven film tackles the fate of the repressed family in the village. The old and ill father joins a villagers’ protest against the landlord responsible for demolishing his house. His son Melu is a rickshaw driver in a nearby town. The rickshaw pullers have gone on a strike that has turned violent. Melu, injured during a labour strike, takes to drinking and wandering the streets. On the night of the lunar eclipse, some gunshots are heard and the village is impregnated with tension. Poor and marginalized, the characters silently but emphatically emanate restlessness and discontent.		Gurvinder Singh	'Gurvinder Singh is an Indian film director. He is best known for his Punjabi language films Anhe Ghore Da Daan, and Chauthi Koot (The Fourth Direction) which premiered at Venice and Cannes Film Festival respectively. In 2016, he was invited by a Turkish production house to direct a short film ''Infiltrator'' (16 mins) as part of an international anthology of ten short films from ten countries, titled \"In The Same Garden\". The anthology premiered at the Sarajevo Film Festival in 2016. He made an experimental film based on the short stories of the Colombian writer Garbriel Garcia Marquez as part of a workshop with the students of acting at the FTII. The film titled ''Sea of Lost Time'' (45 mins) premiered at the Rotterdam Film Festival in 2019.'	Satya Rai Nagpaul	Ujjwal Chandra	Pankaj Dhimaan	Mandar Kulkarni. Ajay Kumar P.B., Rajan Nalagarh	Xavier Joseph	National Film Development Corporation of India
2017	Muktir Gaan	80		1995	Bangladesh	Bengali	English	'During the Liberation War of Bangladsh in 1971, a cultural troupe, named ''Bangladesh Mukti Shangrami Shilpi Shangstha'' (''Association of Liberation Fighters (Artists) of Bagladesh'') used to travel to refugee camps and different places in liberated areas (also known as ''Mukta Anchal''). They performed patriotic songs, arranged puppet shows and staged dramas to inspire the freedom fighters and lift the spirit of war affected people.'		Tareque Masud,  Catherine Masud	'Tareque Masud and Catherine Masud are Bangladeshi documentary filmmakers who have made significant contributions to the world of cinema. They founded the company, Muktodhara, which means ''water lily'', a symbol of purity and simplicity. Their work focuses on rural life, religious practices, and cultural traditions of Bangladesh. Some of their notable films include \"The Elephant Whisperers\", \"A Few Birds in Qutub Shahi Tomb\", and \"The Inner Voice\". They were awarded the National Award for Best Documentary Film in 1996 for \"The Elephant Whisperers\". They have also represented Bangladesh in many international film festivals and conferences. Their films have been well received by critics and audiences alike due to their authentic portrayal of Bangladeshi culture and society.'	Lear Levin	Catherine Masud		Alex Noyes		
2017	I Am 20	19		1967	India	English		'A documentary in which various 20 year old''s from India are interviewed about their hopes and aspirations for the future.'		S.N.S. Sastry	'S.N.S. Sastry was an Indian director born in 1930 in Bombay. He joined Films Division India as a newsreel cameraman in the early 1950s and went on to become a director. Sastry''s films are marked by his self-reflexive experimentation with cinematic form, as well as the sometimes subtle and at other times manifest subversion of the agenda of state propaganda. He is best known for his short non-fiction documentary \"I Am Twenty,\" which was produced by the Films Division of India and directed by him in 1967. The film was awarded the Best Film on Social Documentation at the 15th National Film Awards held in November 1968. The Films Division of India holds more than 8000 titles on documentaries, short films, and animation films.'						
2017	In The Shade Of The Fallen Chinar	16		2016	India	English		'\"In the shade of fallen chinar\" is a short documentary that was shot in Kashmir valley a few days before the current unrest began, It takes a peep into the lives of a group of young Kashmiri artist''s who are also University students. It talks about the factors that inspires their art and how it takes the form of resistance in a conflict ridden Valley.'		Shawn Sebastian, Fazil NC		Fazil N.C.	Appu N. Bhattathiri		Appu N. Bhattathiri,  Ali Saifuddin		
2017	Garm Hava	146		1974	India	Urdu, Hindi	English	In post-partition India, a Muslim businessman and his family struggle for their rights in a country which was once their own.		Mysore Shrinivas Sathyu	M.S. Sathyu was born on 3 July 1930 in Mysore, Karnataka, India. He is a director and art director, known for Garm Hava (1974), Bara (1980) and Ijjodu (2010).	Ishan Arya	S. Chakraborty		Allauddin Khan Qureshi	G.A. Marathe	Ishan Arya, M.S. Sathyu, Abu Siwani
2017	I, Daniel Blake	100		2017	UK	English	English	After surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance.		Ken Loach	'Ken Loach is a British filmmaker and political activist who has made over 30 award-winning feature films since the early 1980s. His films often tackle sociopolitical issues such as poverty, inequality, racism, and workers'' rights through realistic storytelling and naturalistic performances by nonprofessional actors. Some of his most notable works include \"Raining Stones,\" \"My Name Is Joe,\" \"The Wind That Shakes the Barley,\" and \"I, Daniel Blake.\" In addition to his filmmaking career, Loach is active in left-wing politics and has been involved in anti-war and anti-poverty campaigns.'	Robbie Ryan	Jonathan Morris	Fergus Clegg, Linda Wilson	Kevin Brazier	Gareth Spensley	'Rebecca O''Brien'
2017	Manuscripts Don’t Burn	125		2013	Iran	Persian	English	Khosrow and Morteza set out on a mission to kill someone. The assassination ought to be arranged as a suicide. At the last minute however, they are obliged to change their initial plans...		Mohammad Rasoulof	Mohammad Rasoulof is an Iranian journalist and documentary filmmaker whose work focuses on human rights abuses and government corruption within Iran. He has faced numerous legal troubles and imprisonment for his reporting and filmmaking activities, including a five-year prison sentence from 2017 to 2022. Despite these obstacles, Rasoulof continues to produce hard-hitting investigative pieces and documentaries exposing government wrongdoings and advocating for freedom of expression in Iran. His work has earned him international recognition and awards, including the prestigious Golden Pen Award from PEN America in 2019.	Ashkan Ashkani		Farhad Vilkiji			Mohammad Rasoulof
